title,store,sells,price,Unnamed: 0
纽曼+,东旭启信数码专营店,2319.0,78.0,429.0
荣耀+v20,广东电信亿品汇专卖店,2310.0,1749.0,430.0
华为+mate30,同步飞扬数码专营店,2298.0,1118.0,431.0
红米+note8,三际数码官方旗舰店,2293.0,999.0,432.0
荣耀+v20,wezebaba,2267.0,1207.0,433.0
红米+note7pro,龙通店,2265.0,698.0,434.0
华为+p30,能良数码官方旗舰店,2258.0,2699.0,435.0
纽曼+m560,纽曼手机旗舰店,2245.0,98.0,436.0
红米+note8,小米官方旗舰店,2242.0,899.0,437.0
apple+iphonexsmax,红红豆豆200988,2239.0,3589.0,438.0
华为+畅享9plus,诚亨通讯,2233.0,449.0,439.0
小米+小米8,龙龙发财688,2231.0,1158.0,440.0
小米+cc9,品牌机批发店,2227.0,2428.0,441.0
华为+p30,云科数码店,2225.0,1997.0,442.5
