,title,store,type,sells,price
186,['华为 nova2s NFC版智能4G'],['银河信业手机专营店'],4G+64G全网通,1489,1366.25
187,['【至高优惠100】vivo U3 5000mAh大电池 18W双引擎闪充 全网通4G'],['vivo官方旗舰店'],6GB 64GB,1470,1099.0
188,['华为P20Pro'],['疆界互联旗舰店'],6G+128GB（全网通）,1464,2796.25
189,['【二手9成新】华为'],['腾龙二手商品专营店'],3+64G 全网通,1459,411.25
190,['魅族（MEIZU） 魅族S6 魅蓝S6 全面屏'],['佳沪手机旗舰店'],全网通(3GB+32GB),1457,599.0
191,['【二手9成新】Apple iphone 6 Plus 苹果6plus 二手'],['马上优品二手商品旗舰店'],16G 全网通,1449,794.67
192,['【二手9成新】Apple iPhone6 Plus 苹果6plus二手'],['泰业优品二手手机旗舰店'],64G 全网通,1424,982.33
193,['【二手9成新】苹果7Plus'],['万城优品二手手机专营店'],128G 全网通,1418,1951.08
194,['荣耀Play3 '],['掌视界数码旗舰店'],全网通(4G+64G),1402,799.0
195,['华为（HUAWEI）P20 Pro 全网通版移动联通电信4G 全面屏徕卡三摄游戏商务智能'],['众盛手机专营店'],(6G RAM+128G ROM),1401,2999.0
196,['realme Q '],['佳沪手机旗舰店'],6GB+64GB,1375,1048.0
197,['【二手9成新】苹果6'],['闪搜二手手机专营店'],16G 全网通,1372,701.33
198,['【二手9成新】华为（HUAWEI）Mate9 安卓'],['好机汇二手商品专营店'],4+64G 全网通,1372,787.0
199,['【二手9成新】华为（HUAWEI）荣耀6 八核CPU 移动4G联通2G 黑色 3+16G'],['信谊二手商品专营店'],3+16G,1369,289.0
200,['小米（MI） 小米Play '],['佳沪手机旗舰店'],全网通 6G+128G,1357,1067.33
201,['【5G'],['中兴京东自营官方旗舰店'],6GB+128GB,1352,4999.0
202,['【二手9成新】Apple iPhone6 Plus 苹果6Plus 二手'],['瓜子二手商品专营店'],64G 全网通,1333,958.0
203,['【二手9成新】苹果XR '],['好机汇二手商品专营店'],64G 全网通,1313,3395.5
